iter	Logloss
126	0.1923888876
127	0.1917301637
128	0.1908461289
129	0.1901539631
130	0.1896895002
131	0.1891550672
132	0.1885629034
133	0.1875430738
134	0.1869315315
135	0.1862256064
136	0.1856953138
137	0.1846667312
138	0.1839332108
139	0.1835017583
140	0.1827828281
141	0.1820916431
142	0.1817319625
143	0.1812140038
144	0.1805429386
145	0.179911138
146	0.1793360825
147	0.1783405201
148	0.177354021
149	0.1769660247
150	0.1760438016
151	0.1757425686
152	0.175503375
153	0.174710728
154	0.1737980607
155	0.1734098558
156	0.1729446107
157	0.1724913564
158	0.1719012415
159	0.1715861163
160	0.1708141344
161	0.1701980241
162	0.1695656291
163	0.1693496817
164	0.168753374
165	0.168431565
166	0.1681178857
167	0.1678102108
168	0.1675755922
169	0.16667928
170	0.1662277377
171	0.1660900669
172	0.1652121808
173	0.1649305715
174	0.164301976
175	0.1642578365
176	0.1639413557
177	0.1636419527
178	0.1628180258
179	0.1620388678
180	0.1614809024
181	0.161060382
182	0.1606129241
183	0.160120537
184	0.1599368851
185	0.1593033527
186	0.1583081065
187	0.1582090627
188	0.1576876428
189	0.1572938814
190	0.1567557016
191	0.1565072523
192	0.1560987672
193	0.1557616849
194	0.1554771349
195	0.154452214
196	0.1539522818
197	0.1534652741
198	0.1529332878
199	0.1523950593
200	0.1520280296
201	0.1514509516
202	0.1510827075
203	0.1505007709
204	0.1497353141
205	0.1493866457
206	0.1483641086
207	0.1479318185
208	0.1472944527
209	0.1468826162
210	0.1461450385
211	0.1458983365
212	0.1453502431
213	0.1447617764
214	0.1444043615
215	0.1441046736
216	0.1437178422
217	0.142903352
218	0.1425530829
219	0.1417853686
220	0.1414385555
221	0.1409658345
222	0.1399263917
223	0.1395004142
224	0.1388919021
225	0.138305118
226	0.1376240902
227	0.1372919331
228	0.1371476645
229	0.136627615
230	0.1359890853
231	0.1357363147
232	0.1354618017
233	0.1351282258
234	0.1346871768
235	0.1344625775
236	0.1342356372
237	0.1339026893
238	0.1335824696
239	0.1329220721
240	0.1324260381
241	0.1320868602
242	0.1316118175
243	0.1312314414
244	0.1305593267
245	0.1302730729
246	0.1298007244
247	0.1295903918
248	0.1293307613
249	0.128712518
250	0.1284645686
251	0.1280909732
252	0.1276725318
253	0.12739633
254	0.1270069392
255	0.1268645212
256	0.1266174162
257	0.1262003265
258	0.1260081643
259	0.1255272188
260	0.1250623542
261	0.1248898279
262	0.1245931622
263	0.1239168854
264	0.1234655826
265	0.1233360102
266	0.1229132089
267	0.1227269139
268	0.1223625542
269	0.1219790393
270	0.1216019856
271	0.1214794457
272	0.1214087786
273	0.1210081869
274	0.1205186356
275	0.1203929123
276	0.1203443334
277	0.1201194701
278	0.119957575
279	0.1194794432
280	0.1191502793
281	0.1188801335
282	0.1185562779
283	0.117927784
284	0.1176746432
285	0.1174569524
286	0.1167936768
287	0.1164253368
288	0.115923145
289	0.1155762157
290	0.1149740966
291	0.1148328198
292	0.1146087675
293	0.1143915906
294	0.1142657949
295	0.114140242
296	0.1137457873
297	0.1135891001
298	0.1131119644
299	0.11253404
300	0.1119025021
301	0.1116190263
302	0.1112399298
303	0.111050494
304	0.1107698931
305	0.1106685597
306	0.1103750832
307	0.1100324859
308	0.1098124561
309	0.1092915689
310	0.1091836672
311	0.1089661093
312	0.1085743568
313	0.1081330608
314	0.1079133849
315	0.1077729751
316	0.1076015852
317	0.1072828153
318	0.1069141804
319	0.1067639219
320	0.1065686591
321	0.106044713
322	0.1058702735
323	0.1055870673
324	0.1054241311
325	0.105320807
326	0.1050549845
327	0.1049536779
328	0.1043475074
329	0.1038915382
330	0.1035221152
331	0.1030930861
332	0.1030133977
333	0.1026795937
334	0.1025548007
335	0.1023458707
336	0.1021402069
337	0.1019046177
338	0.1017020396
339	0.1014841801
340	0.1010613729
341	0.1007617748
342	0.1003368477
343	0.09992405585
344	0.0994433532
345	0.09888693493
346	0.09854585921
347	0.09843852312
348	0.09834884575
349	0.09813560325
350	0.09794024332
351	0.09787107535
352	0.097773496
353	0.09756564129
354	0.09733979838
355	0.09720603313
356	0.09700071256
357	0.09653468354
358	0.09639215235
359	0.09621862227
360	0.09602854051
361	0.09579898339
362	0.09569394779
363	0.09546471604
364	0.09532014516
365	0.09484607956
366	0.09468304524
367	0.09421046334
368	0.0937409889
369	0.0933354958
370	0.093069275
371	0.09265096333
372	0.09244989307
373	0.09196180408
374	0.09186032668
375	0.09173357103
376	0.09136136524
377	0.09122571032
378	0.09093591534
379	0.09058425523
380	0.09015356146
381	0.08957768812
382	0.08910400973
383	0.08880812554
384	0.08826419173
385	0.08796372247
386	0.08777105591
387	0.08750231465
388	0.08732279756
389	0.08722212609
390	0.08686958138
391	0.08669805703
392	0.08650847551
393	0.08635184418
394	0.08594263966
395	0.08558463823
396	0.08544063496
397	0.08525337873
398	0.08504338972
399	0.08485691361
400	0.08472873669
401	0.08438546518
402	0.08399466359
403	0.08362405919
404	0.0833758807
405	0.08325834393
406	0.08321092904
407	0.08305812039
408	0.0827102592
409	0.08225291541
410	0.08199020597
411	0.08159753201
412	0.08158767127
413	0.08132247241
414	0.08084744635
415	0.08050861545
416	0.08040434935
417	0.08032042039
418	0.08019569893
419	0.07954555057
420	0.07935594657
421	0.078991714
422	0.07878744712
423	0.0787310864
424	0.07860331297
425	0.0781508316
426	0.07796500713
427	0.07783899373
428	0.07753980311
429	0.07729235706
430	0.07716408989
431	0.07662118449
432	0.07642689016
433	0.0760086433
434	0.07594754123
435	0.07573707841
436	0.07523004868
437	0.07496751997
438	0.07482575915
439	0.07446735114
440	0.07436302189
441	0.07382705985
442	0.07352400201
443	0.07342284122
444	0.07329848731
445	0.07281404772
446	0.07253351397
447	0.07238962508
448	0.07234167422
449	0.07210369601
450	0.07193239679
451	0.07168744509
452	0.07153837538
453	0.07145598295
454	0.07135158815
455	0.07121418729
456	0.07083884192
457	0.07074352431
458	0.07062281802
459	0.07044372971
460	0.07001293319
461	0.06961620466
462	0.06936583907
463	0.06918019202
464	0.06912842404
465	0.06893745828
466	0.06859838925
467	0.06831274053
468	0.06794210288
469	0.06767592094
470	0.06738558405
471	0.06699545694
472	0.06664557504
473	0.06657282091
474	0.06635679045
475	0.06599250718
476	0.06589186372
477	0.06567574336
478	0.06562271934
479	0.06528872713
480	0.06514937696
481	0.06483252074
482	0.06460058128
483	0.06424340657
484	0.06398330503
485	0.06370459615
486	0.0635622667
487	0.06321340187
488	0.06314215203
489	0.06304853275
490	0.06273649084
491	0.06245627198
492	0.06229117389
493	0.06195995215
494	0.06177647485
495	0.06160466649
496	0.06145027017
497	0.06135103433
498	0.06112321211
499	0.06081763613
500	0.06054458403
501	0.06035282206
502	0.06021017692
503	0.06012912711
504	0.060054921
505	0.05997389632
506	0.0596763263
507	0.05941477636
508	0.0592586241
509	0.05901312697
510	0.05877438917
511	0.05851495086
512	0.05823868499
513	0.05802715547
514	0.05783742845
515	0.05777210242
516	0.05751639811
517	0.05745691621
518	0.05735337088
519	0.05715531499
520	0.05693300053
521	0.05689142402
522	0.05685900333
523	0.05681427575
524	0.05661192457
525	0.05628434389
526	0.05609688642
527	0.05581879284
528	0.05563378934
529	0.0554743702
530	0.05518240844
531	0.05491865183
532	0.05467506841
533	0.05461636395
534	0.054529701
535	0.05435420921
536	0.05412265075
537	0.05385651626
538	0.05366776565
539	0.05343708084
540	0.05334115824
541	0.05324333432
542	0.05318251509
543	0.05302296633
544	0.05299632127
545	0.05287253959
546	0.05272115155
547	0.05254690845
548	0.05246696958
549	0.05234426111
550	0.05228828933
551	0.05207922596
552	0.05200939972
553	0.05193749809
554	0.05164300003
555	0.0515266332
556	0.05134904257
557	0.0511447887
558	0.05093806387
559	0.05081424644
560	0.05075176948
561	0.05050162046
562	0.05038061059
563	0.0503067748
564	0.05020743546
565	0.05006436254
566	0.04988785587
567	0.0496543648
568	0.0495748914
569	0.0493462729
570	0.04919615768
571	0.0490925233
572	0.04904516296
573	0.04899285502
574	0.04877068542
575	0.04861924109
576	0.04855669654
577	0.04849746085
578	0.04836074778
579	0.04822286558
580	0.04815091847
581	0.04808527597
582	0.04783006591
583	0.0477185548
584	0.04757829873
585	0.04739627411
586	0.04726272915
587	0.04719077412
588	0.04706427399
589	0.04687989518
590	0.04672168381
591	0.04660581321
592	0.0465856174
593	0.04642216863
594	0.04637454596
595	0.04631501559
596	0.04613157852
597	0.04600074162
598	0.04580516456
599	0.04559110051
600	0.04534169398
601	0.0451275595
602	0.04508705934
603	0.04485635282
604	0.04469259841
605	0.04454351281
606	0.04443809257
607	0.04424402843
608	0.04410154835
609	0.04396129769
610	0.04384140245
611	0.04379968191
612	0.04363497926
613	0.04357587663
614	0.04350675107
615	0.04330592469
616	0.04314854042
617	0.04306232606
618	0.04302169538
619	0.04295074575
620	0.04275758356
621	0.04261498485
622	0.0424265505
623	0.04232780843
624	0.04230400561
625	0.04223903545
626	0.04219123335
627	0.04208830634
628	0.0419546972
629	0.04176961898
630	0.04170621867
631	0.04157006237
632	0.04140998756
633	0.04120265775
634	0.04110112732
635	0.0409784155
636	0.04092353141
637	0.04086465184
638	0.04071476654
639	0.04059998797
640	0.04050864755
641	0.0403952694
642	0.04035469212
643	0.04030749356
644	0.04015761829
645	0.04005061435
646	0.03997662852
647	0.03993166566
648	0.03980510634
649	0.03967820384
650	0.03955150588
651	0.03953325589
652	0.03949269084
653	0.03936825695
654	0.03920267633
655	0.03914015468
656	0.03911528649
657	0.03903238587
658	0.03894764029
659	0.03890628125
660	0.0388589223
661	0.0388466064
662	0.03879605042
663	0.0386435781
664	0.03858847526
665	0.03855583988
666	0.03852343364
667	0.03835396085
668	0.03824585447
669	0.0381701893
670	0.03813495088
671	0.03803395863
672	0.03792571311
673	0.03778550691
674	0.03767612126
675	0.03759458316
676	0.03755498048
677	0.03746976115
678	0.03735233126
679	0.03731232377
680	0.0372381241
681	0.03717307877
682	0.03712658583
683	0.03708385047
684	0.03703666744
685	0.03698846077
686	0.036908399
687	0.0368051371
688	0.03675947984
689	0.03668118295
690	0.03664140885
691	0.03656602591
692	0.03644946029
693	0.03637452377
694	0.03622478286
695	0.03613834434
696	0.03601491598
697	0.03591888413
698	0.03589137455
699	0.03581000905
700	0.03574173257
701	0.03573203515
702	0.03565295117
703	0.03552795968
704	0.03542710061
705	0.03530201782
706	0.03529930601
707	0.03527932135
708	0.03516545381
709	0.03511830188
710	0.03510643758
711	0.03509488422
712	0.0350222054
713	0.03500142533
714	0.03492694263
715	0.03490060513
716	0.03485731183
717	0.03481251265
718	0.03469516036
719	0.03462965719
720	0.03458489449
721	0.03444720779
722	0.03444392929
723	0.0344385566
724	0.03442103382
725	0.03439370569
726	0.03426027805
727	0.03416891527
728	0.03416540849
729	0.03408739013
730	0.03397913781
731	0.03397656236
732	0.03386807944
733	0.03383809375
734	0.03382457552
735	0.03382093256
736	0.0337507273
737	0.03372606381
738	0.03364001159
739	0.03355514033
740	0.03347735438
741	0.03335573767
742	0.03322846684
743	0.03318094883
744	0.03312899244
745	0.03303887197
746	0.03299943177
747	0.03291542524
748	0.03287671986
749	0.03272673937
750	0.0327012082
751	0.03260772714
752	0.03255319963
753	0.03246543797
754	0.03244841361
755	0.03243849372
756	0.03226797164
757	0.03221910756
758	0.03213034296
759	0.0320204254
760	0.03196891033
761	0.0319368316
762	0.03186834177
763	0.03180023457
764	0.03168853507
765	0.03161479269
766	0.03152809394
767	0.03144576848
768	0.03139119981
769	0.03133033419
770	0.03121393874
771	0.03120650122
772	0.0311558444
773	0.03110274285
774	0.03108302809
775	0.03104889207
776	0.03100511153
777	0.03093189444
778	0.03089719662
779	0.03080946897
780	0.03074214426
781	0.03068039808
782	0.03060985748
783	0.03057852972
784	0.03048426355
785	0.03036419718
786	0.03035652256
787	0.03032623325
788	0.03021237851
789	0.03019333711
790	0.03008796902
791	0.03006953567
792	0.03005122172
793	0.02999992829
794	0.02994016388
795	0.02986810873
796	0.02980646067
797	0.02974998526
798	0.02967147108
799	0.02964146943
800	0.0296131448
801	0.02958875003
802	0.02948193611
803	0.02942509042
804	0.02941297949
805	0.02940470434
806	0.02930968719
807	0.02922038536
808	0.02919416979
809	0.02915855578
810	0.02915072548
811	0.02908984746
812	0.02900327787
813	0.0289740839
814	0.02894958831
815	0.02893271139
816	0.02889618999
817	0.02884615309
818	0.02878853455
819	0.028739168
820	0.02871445963
821	0.02864462267
822	0.02861357002
823	0.02855719978
824	0.02851111554
825	0.02845975541
826	0.02844399888
827	0.02837180644
828	0.02834149403
829	0.02832279172
830	0.02825618633
831	0.02821882787
832	0.02821168423
833	0.0281834685
834	0.02810437302
835	0.0280491656
836	0.02799570727
837	0.02798823562
838	0.02791774862
839	0.02785231114
840	0.02784875633
841	0.02778043032
842	0.02771375538
843	0.02768668387
844	0.02766590277
845	0.02763711872
846	0.02758662794
847	0.02750195561
848	0.02742893715
849	0.02740416816
850	0.02740128855
851	0.02737794017
852	0.02725485412
853	0.02716915353
854	0.027141918
855	0.02704921681
856	0.02703461297
857	0.02698624963
858	0.02691817996
859	0.02683718403
860	0.02676992114
861	0.02672702678
862	0.02666376129
863	0.02665960676
864	0.02663348836
865	0.02656602296
866	0.02650650368
867	0.0264839537
868	0.02640804427
869	0.02638764798
870	0.02636467664
871	0.02632337531
872	0.02624499276
873	0.02618907242
874	0.02616438057
875	0.02609828685
876	0.02605297977
877	0.02604059055
878	0.02598917452
879	0.02590713994
880	0.02586182704
881	0.02575987599
882	0.02570033439
883	0.02564644742
884	0.02562328481
885	0.02558202462
886	0.02552999102
887	0.02545456522
888	0.02541705466
889	0.02534813476
890	0.02529318771
891	0.02523490163
892	0.02518055721
893	0.02515632503
894	0.02515392888
895	0.02511496398
896	0.02507861851
897	0.02507859091
898	0.0249770384
899	0.02496906077
900	0.02495689724
901	0.02492171137
902	0.02491412327
903	0.02485510476
904	0.02483354373
905	0.02480488886
906	0.02473521668
907	0.02467619437
908	0.02460718282
909	0.02456463806
910	0.02453420751
911	0.02448092652
912	0.02444592694
913	0.0243956959
914	0.02437157132
915	0.02435489434
916	0.02428934616
917	0.02428112724
918	0.02426161784
919	0.02423103557
920	0.02417743788
921	0.02411292001
922	0.02409236552
923	0.0240284481
924	0.02401887401
925	0.0239986247
926	0.02391936292
927	0.02389494396
928	0.02387970421
929	0.02381828915
930	0.02376759093
931	0.02372495225
932	0.02367099473
933	0.02367064532
934	0.02364434669
935	0.02361301606
936	0.02360859787
937	0.02360340047
938	0.02360121863
939	0.02359664295
940	0.02355104039
941	0.02351948627
942	0.02349795843
943	0.02347937197
944	0.02347826173
945	0.02342996064
946	0.02336700558
947	0.02335027763
948	0.02332922447
949	0.02330882831
950	0.02322635232
951	0.02315417091
952	0.02315202006
953	0.0231120118
954	0.02307410977
955	0.02298473851
956	0.02293755525
957	0.02287835245
958	0.02281688526
959	0.02278151291
960	0.02273889122
961	0.02273822211
962	0.0227317027
963	0.02267899301
964	0.02262391391
965	0.02255698378
966	0.02252329477
967	0.02249373738
968	0.02245880005
969	0.02239126036
970	0.02235512011
971	0.02233406918
972	0.02231657187
973	0.02227636033
974	0.0222586454
975	0.02223024568
976	0.022209166
977	0.02218934877
978	0.02214092734
979	0.02210153385
980	0.02205404375
981	0.02203381488
982	0.02197595608
983	0.0219662245
984	0.0219470822
985	0.02194190313
986	0.02187158293
987	0.02185958153
988	0.02182897284
989	0.02176703458
990	0.02174673744
991	0.02173750969
992	0.02171004877
993	0.02164720467
994	0.02160357558
995	0.0215525898
996	0.02153930189
997	0.02148351289
998	0.0214530864
999	0.02143882492
